sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
266,5,16,-0.00935473505737832,0.012672310454970652,1.682849946864379,0.17674503562673882,0.12310592002888651,-17.19371437683785,-2.9778881090990104,0.015076273870301273,-0.03184238508037021,0.18446472986999374,-0.16439408689675764,-0.001826451478847107,-0.008087504011881255,0.010955666951770434,0.0641932487487793
267,5,17,-0.008087504011881255,0.010955666951770434,1.682849946864379,0.17674503562690935,0.1064294837302823,-17.193714386856847,-2.977888109978622,0.015076273858209059,-0.031842385113969494,0.18446473028914467,-0.16439408671183287,-0.0018264519925635379,-0.006991937316704212,0.009471567064750261,0.057544708251953125
268,5,18,-0.006991937316704212,0.009471567064750261,1.682849946864379,0.1767450356267429,0.09201210631572221,-17.193714396956306,-2.977888114637419,0.015076273845117647,-0.03184238505299555,0.1844647296452132,-0.16439408667223143,-0.0018264516611693202,-0.006044780610229185,0.008188509473522364,0.0649421215057373
269,5,19,-0.006044780610229185,0.008188509473522364,1.682849946864379,0.1767450356267384,0.07954776639083422,-17.193714403360786,-2.977888116422991,0.015076273837002153,-0.03184238504285457,0.1844647295604653,-0.16439408660259347,-0.001826451708601718,-0.0052259296628769485,0.007079260162310889,0.06575179100036621
270,5,20,-0.0052259296628769485,0.007079260162310889,1.682849946864379,0.17674503562677368,0.06877189742448805,-17.193714408098487,-2.9778881171880878,0.015076273831135998,-0.03184238504936416,0.18446472965519434,-0.16439408652941206,-0.0018264518690437339,-0.00451800364664586,0.006120274343538299,0.07148551940917969
271,5,21,-0.00451800364664586,0.006120274343538299,1.682849946864379,0.1767450356267381,0.05945577216197614,-17.19371441202178,-2.9778881187193784,0.015076273826151294,-0.0318423850329972,0.18446472948630147,-0.1643940865028341,-0.0018264518050507916,-0.0039059762122920297,0.005291196703501352,0.07039308547973633
272,5,22,-0.0039059762122920297,0.005291196703501352,1.682849946864379,0.17674503562675417,0.051401647704272635,-17.193714414458153,-2.9778881191691227,0.01507627382316843,-0.03184238503536614,0.18446472952256684,-0.16439408646690362,-0.0018264518776962724,-0.0033768565419418943,0.004574429344676392,0.07710504531860352
273,5,23,-0.0033768565419418943,0.004574429344676392,1.682849946864379,0.17674503562675167,0.04443856820577966,-17.19371441608748,-2.9778881198196037,0.015076273821354088,-0.03184238503059937,0.18446472946732978,-0.1643940864537546,-0.001826451863273887,-0.002919413607474255,0.003954758252262499,0.07136917114257812
274,5,24,-0.002919413607474255,0.003954758252262499,1.682849946864379,0.17674503562674088,0.038418736216583524,-17.19371441794187,-2.9778881203281613,0.015076273818871272,-0.03184238502662718,0.18446472943527245,-0.16439408643465814,-0.001826451870870143,-0.002523937782248005,0.0034190303654713736,0.07416510581970215
275,5,25,-0.002523937782248005,0.0034190303654713736,1.682849946864379,0.1767450356267423,0.03321437552983063,-17.193714418960898,-2.9778881206173176,0.015076273817581741,-0.0318423850249145,0.18446472942058195,-0.16439408642374223,-0.0018264518774617304,-0.0021820347457008676,0.0029558743907448083,0.09353470802307129
